Unnamed: 0,date,Infected,Area
82,2019-10-10,5,Mymenshing
83,2019-10-09,6,Mymenshing
84,2019-10-08,4,Mymenshing
85,2019-10-07,3,Mymenshing
86,2019-10-06,4,Mymenshing
87,2019-10-05,4,Mymenshing
88,2019-10-04,6,Mymenshing
89,2019-10-03,7,Mymenshing
90,2019-10-02,6,Mymenshing
91,2019-10-01,9,Mymenshing
92,2019-09-30,6,Mymenshing
93,2019-09-29,7,Mymenshing
94,2019-09-28,2,Mymenshing
95,2019-09-27,7,Mymenshing
96,2019-09-26,9,Mymenshing
97,2019-09-25,5,Mymenshing
98,2019-09-24,12,Mymenshing
99,2019-09-23,7,Mymenshing
100,2019-09-22,7,Mymenshing
101,2019-09-21,2,Mymenshing
102,2019-09-20,10,Mymenshing
103,2019-09-19,2,Mymenshing
104,2019-09-18,3,Mymenshing
105,2019-09-17,10,Mymenshing
106,2019-09-16,16,Mymenshing
107,2019-09-15,11,Mymenshing
108,2019-09-14,7,Mymenshing
109,2019-09-13,8,Mymenshing
110,2019-09-12,17,Mymenshing
111,2019-09-11,7,Mymenshing
112,2019-09-10,13,Mymenshing
113,2019-09-09,19,Mymenshing
114,2019-09-08,23,Mymenshing
115,2019-09-07,13,Mymenshing
116,2019-09-06,17,Mymenshing
117,2019-09-05,22,Mymenshing
118,2019-09-04,21,Mymenshing
119,2019-09-03,14,Mymenshing
120,2019-09-02,16,Mymenshing
121,2019-09-01,19,Mymenshing
122,2019-08-31,14,Mymenshing
123,2019-08-30,20,Mymenshing
124,2019-08-29,29,Mymenshing
125,2019-08-28,18,Mymenshing
126,2019-08-27,19,Mymenshing
127,2019-08-26,17,Mymenshing
128,2019-08-25,26,Mymenshing
129,2019-08-24,25,Mymenshing
1,2019-12-30,1,Rajshahi
2,2019-12-29,1,Rajshahi
3,2019-12-28,0,Rajshahi
4,2019-12-27,0,Rajshahi
5,2019-12-26,0,Rajshahi
6,2019-12-25,0,Rajshahi
7,2019-12-24,0,Rajshahi
8,2019-12-23,0,Rajshahi
9,2019-12-22,0,Rajshahi
10,2019-12-21,0,Rajshahi
11,2019-12-20,0,Rajshahi
12,2019-12-19,1,Rajshahi
13,2019-12-18,1,Rajshahi
14,2019-12-17,0,Rajshahi
15,2019-12-16,0,Rajshahi
16,2019-12-15,0,Rajshahi
